index, memory location, data type, hex value, dec, voltage
[242], 0x001DE4, int, 0x07EC, 2028, 1.63348388671875
[243], 0x001DE6, int, 0x07C4, 1988, 1.60125732421875
[244], 0x001DE8, int, 0x079F, 1951, 1.57144775390625
[245], 0x001DEA, int, 0x077B, 1915, 1.54244384765625
[246], 0x001DEC, int, 0x0771, 1905, 1.53438720703125
[247], 0x001DEE, int, 0x0783, 1923, 1.54888916015625
[248], 0x001DF0, int, 0x07BF, 1983, 1.59722900390625
[249], 0x001DF2, int, 0x07E3, 2019, 1.62623291015625
[250], 0x001DF4, int, 0x083C, 2108, 1.69793701171875
[251], 0x001DF6, int, 0x0869, 2153, 1.73419189453125
[252], 0x001DF8, int, 0x0897, 2199, 1.77125244140625
[253], 0x001DFA, int, 0x087F, 2175, 1.75191650390625
[254], 0x001DFC, int, 0x0880, 2176, 1.75272216796875
[255], 0x001DFE, int, 0x0857, 2135, 1.71968994140625
[256], 0x001E00, int, 0x0827, 2087, 1.68101806640625
[257], 0x001E02, int, 0x07EF, 2031, 1.63590087890625
[258], 0x001E04, int, 0x07BC, 1980, 1.59481201171875
[259], 0x001E06, int, 0x07A0, 1952, 1.57225341796875
[260], 0x001E08, int, 0x0787, 1927, 1.55211181640625
[261], 0x001E0A, int, 0x076A, 1898, 1.52874755859375
[262], 0x001E0C, int, 0x07A0, 1952, 1.57225341796875
[263], 0x001E0E, int, 0x07B3, 1971, 1.58756103515625
[264], 0x001E10, int, 0x07FF, 2047, 1.64879150390625
[265], 0x001E12, int, 0x081F, 2079, 1.67457275390625
[266], 0x001E14, int, 0x0858, 2136, 1.72049560546875
[267], 0x001E16, int, 0x0877, 2167, 1.74547119140625
[268], 0x001E18, int, 0x088F, 2191, 1.76480712890625
[269], 0x001E1A, int, 0x086F, 2159, 1.73902587890625
[270], 0x001E1C, int, 0x084C, 2124, 1.71082763671875
[271], 0x001E1E, int, 0x0828, 2088, 1.68182373046875
[272], 0x001E20, int, 0x07D7, 2007, 1.61656494140625
[273], 0x001E22, int, 0x0797, 1943, 1.56500244140625
[274], 0x001E24, int, 0x0781, 1921, 1.54727783203125
[275], 0x001E26, int, 0x0767, 1895, 1.52633056640625
[276], 0x001E28, int, 0x077B, 1915, 1.54244384765625
[277], 0x001E2A, int, 0x0776, 1910, 1.53841552734375
[278], 0x001E2C, int, 0x07C0, 1984, 1.59803466796875
[279], 0x001E2E, int, 0x07E0, 2016, 1.62381591796875
[280], 0x001E30, int, 0x082E, 2094, 1.68665771484375
[281], 0x001E32, int, 0x0844, 2116, 1.70438232421875
[282], 0x001E34, int, 0x0883, 2179, 1.75513916015625
[283], 0x001E36, int, 0x086F, 2159, 1.73902587890625
[284], 0x001E38, int, 0x086D, 2157, 1.73741455078125
[285], 0x001E3A, int, 0x0837, 2103, 1.69390869140625
[286], 0x001E3C, int, 0x0800, 2048, 1.64959716796875
[287], 0x001E3E, int, 0x07D1, 2001, 1.61173095703125
[288], 0x001E40, int, 0x0797, 1943, 1.56500244140625
[289], 0x001E42, int, 0x0776, 1910, 1.53841552734375
[290], 0x001E44, int, 0x076B, 1899, 1.52955322265625
[291], 0x001E46, int, 0x076B, 1899, 1.52955322265625
[292], 0x001E48, int, 0x079E, 1950, 1.57064208984375
[293], 0x001E4A, int, 0x07C8, 1992, 1.60447998046875
[294], 0x001E4C, int, 0x081F, 2079, 1.67457275390625
[295], 0x001E4E, int, 0x083B, 2107, 1.69713134765625
[296], 0x001E50, int, 0x0880, 2176, 1.75272216796875
[297], 0x001E52, int, 0x0888, 2184, 1.75916748046875
[298], 0x001E54, int, 0x0890, 2192, 1.76561279296875
[299], 0x001E56, int, 0x0877, 2167, 1.74547119140625
[300], 0x001E58, int, 0x0844, 2116, 1.70438232421875
[301], 0x001E5A, int, 0x0811, 2065, 1.66329345703125
[302], 0x001E5C, int, 0x07DD, 2013, 1.62139892578125
[303], 0x001E5E, int, 0x079F, 1951, 1.57144775390625
[304], 0x001E60, int, 0x0788, 1928, 1.55291748046875
[305], 0x001E62, int, 0x0780, 1920, 1.54647216796875
[306], 0x001E64, int, 0x0795, 1941, 1.56339111328125
[307], 0x001E66, int, 0x079F, 1951, 1.57144775390625
[308], 0x001E68, int, 0x07E1, 2017, 1.62462158203125
[309], 0x001E6A, int, 0x0811, 2065, 1.66329345703125
