index, memory location, data type, hex value, dec, voltage
[202], 0x001D94, int, 0x0556, 1366, 0.40004882812500003
[203], 0x001D96, int, 0x04A0, 1184, 0.346728515625
[204], 0x001D98, int, 0x03DB, 987, 0.289013671875
[205], 0x001D9A, int, 0x02F7, 759, 0.22221679687499998
[206], 0x001D9C, int, 0x01AD, 429, 0.12553710937499998
[207], 0x001D9E, int, 0x011A, 282, 0.08247070312499999
[208], 0x001DA0, int, 0x00BF, 191, 0.055810546875
[209], 0x001DA2, int, 0x00BE, 190, 0.055517578125
[210], 0x001DA4, int, 0x011D, 285, 0.083349609375
[211], 0x001DA6, int, 0x01ED, 493, 0.144287109375
[212], 0x001DA8, int, 0x030A, 778, 0.22778320312499997
[213], 0x001DAA, int, 0x03FF, 1023, 0.299560546875
[214], 0x001DAC, int, 0x04D0, 1232, 0.360791015625
[215], 0x001DAE, int, 0x0583, 1411, 0.41323242187500003
[216], 0x001DB0, int, 0x0605, 1541, 0.451318359375
[217], 0x001DB2, int, 0x05F1, 1521, 0.44545898437500003
[218], 0x001DB4, int, 0x0561, 1377, 0.403271484375
[219], 0x001DB6, int, 0x04A4, 1188, 0.347900390625
[220], 0x001DB8, int, 0x03C0, 960, 0.281103515625
[221], 0x001DBA, int, 0x0275, 629, 0.18413085937499998
[222], 0x001DBC, int, 0x019A, 410, 0.119970703125
[223], 0x001DBE, int, 0x0101, 257, 0.07514648437499999
[224], 0x001DC0, int, 0x00A2, 162, 0.047314453125
[225], 0x001DC2, int, 0x00D7, 215, 0.062841796875
[226], 0x001DC4, int, 0x0137, 311, 0.09096679687499999
[227], 0x001DC6, int, 0x0251, 593, 0.173583984375
[228], 0x001DC8, int, 0x0322, 802, 0.234814453125
[229], 0x001DCA, int, 0x0474, 1140, 0.333837890625
[230], 0x001DCC, int, 0x0547, 1351, 0.39565429687500003
[231], 0x001DCE, int, 0x05E7, 1511, 0.44252929687500003
[232], 0x001DD0, int, 0x05F3, 1523, 0.446044921875
[233], 0x001DD2, int, 0x0596, 1430, 0.418798828125
[234], 0x001DD4, int, 0x0500, 1280, 0.374853515625
[235], 0x001DD6, int, 0x041A, 1050, 0.307470703125
[236], 0x001DD8, int, 0x02CC, 716, 0.20961914062499998
[237], 0x001DDA, int, 0x0202, 514, 0.15043945312499998
[238], 0x001DDC, int, 0x014D, 333, 0.09741210937499999
[239], 0x001DDE, int, 0x00B8, 184, 0.053759765625
[240], 0x001DE0, int, 0x00C9, 201, 0.058740234375
[241], 0x001DE2, int, 0x013D, 317, 0.09272460937499999
[242], 0x001DE4, int, 0x01DB, 475, 0.139013671875
[243], 0x001DE6, int, 0x02B4, 692, 0.202587890625
[244], 0x001DE8, int, 0x0417, 1047, 0.306591796875
[245], 0x001DEA, int, 0x04D7, 1239, 0.362841796875
[246], 0x001DEC, int, 0x05C4, 1476, 0.43227539062500003
[247], 0x001DEE, int, 0x05EF, 1519, 0.444873046875
[248], 0x001DF0, int, 0x05CE, 1486, 0.43520507812500003
[249], 0x001DF2, int, 0x0558, 1368, 0.400634765625
[250], 0x001DF4, int, 0x048B, 1163, 0.340576171875
[251], 0x001DF6, int, 0x0345, 837, 0.245068359375
[252], 0x001DF8, int, 0x0250, 592, 0.173291015625
[253], 0x001DFA, int, 0x01A0, 416, 0.12172851562499999
[254], 0x001DFC, int, 0x00F8, 248, 0.07250976562499999
[255], 0x001DFE, int, 0x00AE, 174, 0.050830078125
[256], 0x001E00, int, 0x00DB, 219, 0.064013671875
[257], 0x001E02, int, 0x014A, 330, 0.096533203125
[258], 0x001E04, int, 0x0207, 519, 0.15190429687499998
[259], 0x001E06, int, 0x02CA, 714, 0.20903320312499998
[260], 0x001E08, int, 0x0424, 1060, 0.310400390625
[261], 0x001E0A, int, 0x04F1, 1265, 0.370458984375
[262], 0x001E0C, int, 0x05B8, 1464, 0.428759765625
[263], 0x001E0E, int, 0x0601, 1537, 0.450146484375
[264], 0x001E10, int, 0x05B0, 1456, 0.42641601562500003
[265], 0x001E12, int, 0x04FB, 1275, 0.373388671875
[266], 0x001E14, int, 0x0480, 1152, 0.337353515625
[267], 0x001E16, int, 0x0323, 803, 0.23510742187499997
[268], 0x001E18, int, 0x0230, 560, 0.163916015625
[269], 0x001E1A, int, 0x0180, 384, 0.11235351562499998
[270], 0x001E1C, int, 0x00BE, 190, 0.055517578125
[271], 0x001E1E, int, 0x00C6, 198, 0.057861328125
[272], 0x001E20, int, 0x0105, 261, 0.07631835937499999
[273], 0x001E22, int, 0x019C, 412, 0.12055664062499999
[274], 0x001E24, int, 0x0267, 615, 0.180029296875
[275], 0x001E26, int, 0x03C0, 960, 0.281103515625
[276], 0x001E28, int, 0x049B, 1179, 0.345263671875
[277], 0x001E2A, int, 0x0561, 1377, 0.403271484375
[278], 0x001E2C, int, 0x05FE, 1534, 0.449267578125
[279], 0x001E2E, int, 0x0600, 1536, 0.449853515625
[280], 0x001E30, int, 0x05BB, 1467, 0.429638671875
[281], 0x001E32, int, 0x04DA, 1242, 0.363720703125
[282], 0x001E34, int, 0x03EB, 1003, 0.293701171875
[283], 0x001E36, int, 0x0305, 773, 0.22631835937499997
[284], 0x001E38, int, 0x0228, 552, 0.161572265625
[285], 0x001E3A, int, 0x0121, 289, 0.084521484375
[286], 0x001E3C, int, 0x00BC, 188, 0.054931640625
[287], 0x001E3E, int, 0x00A8, 168, 0.049072265625
[288], 0x001E40, int, 0x0107, 263, 0.07690429687499999
[289], 0x001E42, int, 0x01AC, 428, 0.125244140625
[290], 0x001E44, int, 0x02FD, 765, 0.223974609375
[291], 0x001E46, int, 0x03EE, 1006, 0.29458007812500003
[292], 0x001E48, int, 0x0514, 1300, 0.380712890625
[293], 0x001E4A, int, 0x05A6, 1446, 0.42348632812500003
[294], 0x001E4C, int, 0x0604, 1540, 0.451025390625
[295], 0x001E4E, int, 0x05E7, 1511, 0.44252929687500003
[296], 0x001E50, int, 0x0597, 1431, 0.41909179687500003
[297], 0x001E52, int, 0x04B0, 1200, 0.351416015625
[298], 0x001E54, int, 0x03E6, 998, 0.292236328125
[299], 0x001E56, int, 0x02F5, 757, 0.221630859375
[300], 0x001E58, int, 0x01C5, 453, 0.132568359375
[301], 0x001E5A, int, 0x011A, 282, 0.08247070312499999
[302], 0x001E5C, int, 0x00AE, 174, 0.050830078125
[303], 0x001E5E, int, 0x00CC, 204, 0.059619140625
[304], 0x001E60, int, 0x0177, 375, 0.109716796875
[305], 0x001E62, int, 0x022C, 556, 0.16274414062499998
[306], 0x001E64, int, 0x037E, 894, 0.261767578125
[307], 0x001E66, int, 0x0459, 1113, 0.325927734375
[308], 0x001E68, int, 0x051D, 1309, 0.383349609375
[309], 0x001E6A, int, 0x05EE, 1518, 0.444580078125
[310], 0x001E6C, int, 0x0607, 1543, 0.451904296875
[311], 0x001E6E, int, 0x059C, 1436, 0.42055664062500003
[312], 0x001E70, int, 0x0525, 1317, 0.385693359375
[313], 0x001E72, int, 0x040A, 1034, 0.302783203125
[314], 0x001E74, int, 0x02F7, 759, 0.22221679687499998
[315], 0x001E76, int, 0x01B8, 440, 0.128759765625
